"","Outcome","Std.Beta","Std.Err","p","p.adj","Model"
"1","v_intra_ATRL",-0.338993983967005,0.0231823389769265,5.66563561911037e-47,1.04021069966866e-43,"BRIA"
"2","v_intra_ATRR",-0.290363866722067,0.0230695914334014,1.75841300251864e-35,3.22844627262422e-32,"BRIA"
"3","v_intra_CSTL",-0.284194934611089,0.0236421916030678,1.36921652507439e-32,2.51388154003658e-29,"BRIA"
"4","v_intra_CSTR",-0.233318521736331,0.0237370321362208,1.73695605434347e-22,3.18905131577461e-19,"BRIA"
"5","v_intra_CGL",-0.300671095312553,0.0231045108666533,7.50115103072525e-38,1.37721132924116e-34,"BRIA"
"6","v_intra_CGR",-0.243310022214254,0.0236185186735706,1.63820714829737e-24,3.00774832427398e-21,"BRIA"
"7","v_intra_FMAJ",-0.226018383903292,0.0235817000723291,1.72223728725315e-21,3.16202765939678e-18,"BRIA"
"8","v_intra_FMIN",-0.357764248340034,0.022703196698466,5.89665529715051e-54,1.08262591255683e-50,"BRIA"
"9","v_intra_IFOFL",-0.319418767598026,0.0231821783233035,4.45995703759803e-42,8.18848112102998e-39,"BRIA"
"10","v_intra_IFOFR",-0.262183067530577,0.0232713845756165,6.31638798961504e-29,1.15968883489332e-25,"DKI"
"11","v_intra_ILFL",-0.259803394202409,0.0236841915138668,1.51794677891485e-27,2.78695028608767e-24,"DKI"
"12","v_intra_ILFR",-0.237923595021079,0.0236468115042863,1.76537604075078e-23,3.24123041081843e-20,"DKI"
"13","v_intra_SLFL",-0.302271960654479,0.0228292778279326,3.86655995859586e-39,7.099004083982e-36,"DTI"
"14","v_intra_SLFR",-0.277956703900821,0.0229647801064093,4.3295691463536e-33,7.9490889527052e-30,"DTI"
"15","v_intra_UFL",-0.359179607740999,0.0231621075757265,2.56628955240182e-52,4.71170761820974e-49,"DTI"
"16","v_intra_UFR",-0.286922635873924,0.023235817949116,3.10003611522261e-34,5.69166630754871e-31,"DTI"
"17","v_intra_SLFTL",-0.27054036049933,0.023784164383904,2.06068796285188e-29,3.78342309979605e-26,"SMT"
"18","v_intra_SLTFR",-0.275904871040713,0.0233710028621627,1.60798641052805e-31,2.9522630497295e-28,"SMT"
"19","v_intra_Middlecerebellarpeduncle",-0.265194342024958,0.0223516028253042,9.01678187635118e-32,1.65548115249808e-28,"SMT"
"20","v_intra_Pontine",0.00118404400913031,0.0229946957731673,0.958936829622,1,"SMT"
"21","v_intra_GenuCC",-0.338882898069916,0.0227281270688695,9.15010293005594e-49,1.67995889795827e-45,"SMTmc"
"22","v_intra_BodyCC",-0.295905757919969,0.0224891536834803,1.06182648933709e-38,1.9495134344229e-35,"SMTmc"
"23","v_intra_SpleniumCC",-0.268184321904276,0.0233497446663916,5.52057018539599e-30,1.0135766860387e-26,"SMTmc"
"24","v_intra_Fornix",-0.5828856369621,0.0197393755320375,5.5182996572072e-171,1.01315981706324e-167,"SMTmc"
"25","v_intra_CorticospinaltractR",0.00438443069196445,0.0233961807101468,0.85135987110034,1,"WMTI"
"26","v_intra_CorticospinaltractL",-0.000581141598705379,0.0237802968262105,0.980504860497734,1,"WMTI"
"27","v_intra_MediallemniscusR",-0.1078362987315,0.0222942206154334,1.38477993409532e-06,0.002542455958999,"WMTI"
"28","v_intra_MediallemniscusL",-0.12559569937931,0.0227710912387014,3.7711250780292e-08,6.9237856432616e-05,"BRIA"
