"","Outcome","Std.Beta","Std.Err","p","p.adj","Model"
"1","v_intra_ATRL",0.0720232176179516,0.0333148278379599,0.03069735303399,1,"BRIA"
"2","v_intra_ATRR",0.0459817659658362,0.033137355939803,0.165353253534265,1,"BRIA"
"3","v_intra_CSTL",0.0928259563641403,0.0339563642854732,0.00629726598339222,1,"BRIA"
"4","v_intra_CSTR",0.0730909201578736,0.0340916057250578,0.0321107753299548,1,"BRIA"
"5","v_intra_CGL",0.0451706181788419,0.0331707831585454,0.173360431004143,1,"BRIA"
"6","v_intra_CGR",0.0295771968449377,0.0339203069802406,0.383293513976367,1,"BRIA"
"7","v_intra_FMAJ",0.0477315504163124,0.0338566670537789,0.15868538796634,1,"BRIA"
"8","v_intra_FMIN",0.0273971802419424,0.0326310202322414,0.40119176342715,1,"BRIA"
"9","v_intra_IFOFL",0.0626423194712351,0.0332924802356648,0.0599781949946801,1,"BRIA"
"10","v_intra_IFOFR",0.0496982877288434,0.0334148810608661,0.13702657449174,1,"DKI"
"11","v_intra_ILFL",0.0615187451573422,0.0340080875342895,0.0705462677745409,1,"DKI"
"12","v_intra_ILFR",0.0734363316500973,0.0339560078624735,0.0306359125333151,1,"DKI"
"13","v_intra_SLFL",0.0658200912039467,0.0327625466988202,0.0446083671976898,1,"DTI"
"14","v_intra_SLFR",0.0676670549852462,0.0329597257399049,0.0401414099466032,1,"DTI"
"15","v_intra_UFL",0.0739238682518167,0.0332770186209114,0.0263901233462082,1,"DTI"
"16","v_intra_UFR",0.0557414610212636,0.0333794828130939,0.0950331107833543,1,"DTI"
"17","v_intra_SLFTL",0.0447624640045067,0.0341651434138855,0.190230023440998,1,"SMT"
"18","v_intra_SLTFR",0.0489381505534286,0.0335653410918194,0.144938380454894,1,"SMT"
"19","v_intra_Middlecerebellarpeduncle",0.0586673111364452,0.0321131770631368,0.0678141960783613,1,"SMT"
"20","v_intra_Pontine",0.0347498092215873,0.0330371881505291,0.292957113370255,1,"SMT"
"21","v_intra_GenuCC",0.0434789017688404,0.0326541410884939,0.183113392798103,1,"SMTmc"
"22","v_intra_BodyCC",0.0586537664092382,0.0322712201763048,0.069214906482804,1,"SMTmc"
"23","v_intra_SpleniumCC",0.0513161394800068,0.0335253475491446,0.125944314879666,1,"SMTmc"
"24","v_intra_Fornix",0.063457556876348,0.0283496539857966,0.0252592794853993,1,"SMTmc"
"25","v_intra_CorticospinaltractR",0.0416858385140602,0.0336133499283348,0.2150120249035,1,"WMTI"
"26","v_intra_CorticospinaltractL",0.0402330626362366,0.0341888084826795,0.239369776402568,1,"WMTI"
"27","v_intra_MediallemniscusR",0.0678117091300401,0.0320328016314782,0.0343463855984465,1,"WMTI"
"28","v_intra_MediallemniscusL",0.0627001036337627,0.0327189236730748,0.0554183444724992,1,"BRIA"
"29","v_intra_InferiorcerebellarpeduncleR",0.0920592201558629,0.0325455505125978,0.00470582540256648,1,"BRIA"
"30","v_intra_InferiorcerebellarpeduncleL",0.100520904121886,0.0323660351445732,0.00191564684735239,1,"BRIA"
"31","v_intra_SuperiorcerebellarpeduncleR",0.0146617596393103,0.0336014957510673,0.662618499399345,1,"BRIA"
"32","v_intra_SuperiorcerebellarpeduncleL",0.0239651969215456,0.0338042945189496,0.478415584493693,1,"BRIA"
"33","v_intra_CerebralpeduncleR",0.061885609209164,0.0321363849407173,0.0542334819240626,1,"BRIA"
"34","v_intra_CerebralpeduncleL",0.100008169092628,0.0325159660845005,0.00211911237573918,1,"BRIA"
"35","v_intra_AnteriorlimbofinternalcapsuleR",0.0458038214881739,0.0331767704343617,0.167503393713004,1,"BRIA"
"36","v_intra_AnteriorlimbofinternalcapsuleL",0.0407020501738548,0.0336275403273252,0.226227525036031,1,"BRIA"
"37","v_intra_.PosteriorlimbofinternalcapsuleR",0.083663071959065,0.0338279520226348,0.0134447077928189,1,"DKI"
"38","v_intra_PosteriorlimbofinternalcapsuleL",0.110028969239391,0.0340959329795555,0.00126371442257598,1,"DKI"
"39","v_intra_RetrolenticularpartofinternalcapsuleR",0.039503428441228,0.0341522222116111,0.247488291569937,1,"DKI"
"40","v_intra_RetrolenticularpartofinternalcapsuleL",0.0515573862622621,0.0344616302377738,0.134731998822901,1,"DTI"
"41","v_intra_AnteriorcoronaradiataR",0.0429575990397087,0.0327407344849483,0.189590416016294,1,"DTI"
"42","v_intra_AnteriorcoronaradiataL",0.0411515226064527,0.0327667843993424,0.209242482536184,1,"DTI"
"43","v_intra_SuperiorcoronaradiataR",0.058650774543356,0.0328445067186374,0.074234743005096,1,"DTI"
"44","v_intra_SuperiorcoronaradiataL",0.0721080142160296,0.0324286391775451,0.0262387622558546,1,"SMT"
"45","v_intra_PosteriorcoronaradiataR",0.0448161480086885,0.0330026332212781,0.174561849774663,1,"SMT"
"46","v_intra_PosteriorcoronaradiataL",0.0449581746714237,0.0331354584537181,0.174926763678774,1,"SMT"
"47","v_intra_PosteriorthalamicradiationR",0.0532935541917653,0.0337745694759843,0.114678849258237,1,"SMT"
"48","v_intra_PosteriorthalamicradiationL",0.0427281248838769,0.0339795700394495,0.208671322339121,1,"SMTmc"
"49","v_intra_SagittalstratumR",0.050016652653153,0.0337373058654876,0.138293531259909,1,"SMTmc"
"50","v_intra_SagittalstratumL",0.0534278943262098,0.0338614769222842,0.114702094141935,1,"SMTmc"
"51","v_intra_ExternalcapsuleR",0.0441563314126152,0.0334460716438506,0.186858353467078,1,"SMTmc"
"52","v_intra_ExternalcapsuleL",0.0729840155717629,0.0339730028633049,0.0317684676827732,1,"WMTI"
"53","v_intra_CingulumcingulategyrusR",0.0206589264810087,0.0332728616147103,0.534714350068762,1,"WMTI"
"54","v_intra_CingulumcingulategyrusL",0.0236532156972954,0.0332135115561569,0.47642020387102,1,"WMTI"
"55","v_intra_CingulumhippocampusR",0.0638719058850696,0.0319792172819187,0.0458834565470076,1,"BRIA"
"56","v_intra_CingulumhippocampusL",0.0959420940445465,0.0313493299199558,0.00222990990644396,1,"BRIA"
"57","v_intra_Fornix_StriaterminalisR",0.00706421560987698,0.0321469889349688,0.826082731781961,1,"BRIA"
"58","v_intra_Fornix_StriaterminalisL",0.0455035545976467,0.0326212650317434,0.163146827346287,1,"BRIA"
"59","v_intra_SuperiorlongitudinalfasciculusR",0.0708865085830734,0.0339938831827619,0.0371163988468057,1,"BRIA"
"60","v_intra_SuperiorlongitudinalfasciculusL",0.0684752191205686,0.0338388907144202,0.0430894249381306,1,"BRIA"
"61","v_intra_SuperiorfrontooccipitalfasciculusR",0.0748951737375271,0.0331035232380237,0.0237400486834875,1,"BRIA"
"62","v_intra_SuperiorfrontooccipitalfasciculusL",0.079937794863946,0.0325658664630547,0.0141584195544496,1,"BRIA"
"63","v_intra_UncinatefasciculusR",0.0618319149581299,0.033492554660017,0.0649690388763981,1,"BRIA"
"64","v_intra_UncinatefasciculusL",0.0767107325110109,0.0330838366506019,0.0204790596130098,1,"DKI"
"65","v_intra_TapetumR",0.0366952794209552,0.0316582723185738,0.246495839426398,1,"DKI"
"66","v_intra_TapetumL",0.0131818922679771,0.033116461885914,0.690621598275733,1,"DKI"
"67","v_intra_CINGL",0.0960556666351584,0.0332184295554959,0.00385949446614727,1,"DTI"
"68","v_intra_CINGR",0.060076923756071,0.033551309286219,0.0734539257443943,1,"DTI"
"69","v_extra_ATRL",-0.067149687342602,0.0343247337814423,0.0505172636224839,1,"DTI"
"70","v_extra_ATRR",-0.0479918432055663,0.0329166924391581,0.144948618118708,1,"DTI"
"71","v_extra_CSTL",-0.100743285948456,0.0339029684251962,0.00298618264878393,1,"SMT"
"72","v_extra_CSTR",-0.07578592334656,0.0338692264427163,0.0253178316003182,1,"SMT"
"73","v_extra_CGL",-0.028941820848118,0.0344647160467768,0.401109617258959,1,"SMT"
"74","v_extra_CGR",-0.00805797591955052,0.0342210257939834,0.813860557330346,1,"SMT"
"75","v_extra_FMAJ",-0.0402161619229439,0.0346712092247478,0.246165600553393,1,"SMTmc"
"76","v_extra_FMIN",-0.0446763930749296,0.033369808870017,0.18072591220437,1,"SMTmc"
"77","v_extra_IFOFL",-0.0724713169921084,0.0345072221186396,0.0357906497931871,1,"SMTmc"
"78","v_extra_IFOFR",-0.0518459988530196,0.0343499265851752,0.131308734780892,1,"SMTmc"
"79","v_extra_ILFL",-0.0700906766036214,0.0349589648718872,0.0450535723723653,1,"WMTI"
"80","v_extra_ILFR",-0.0835588259456392,0.034375031658269,0.0151205080888714,1,"WMTI"
"81","v_extra_SLFL",-0.0688967966734867,0.0343733658640259,0.0451110211014116,1,"WMTI"
"82","v_extra_SLFR",-0.0590510683655876,0.0342426670878881,0.0847128601620406,1,"BRIA"
"83","v_extra_UFL",-0.0848319041593819,0.0338334468094102,0.0122155820230114,1,"BRIA"
"84","v_extra_UFR",-0.0727077515353542,0.0333774463489667,0.0294560077373967,1,"BRIA"
"85","v_extra_SLFTL",-0.0339150307109791,0.0344563158837977,0.325049693203511,1,"BRIA"
"86","v_extra_SLTFR",-0.0289881993411247,0.0334238791944548,0.385850357806962,1,"BRIA"
"87","v_extra_Middlecerebellarpeduncle",-0.0546951556589979,0.0310915767271058,0.0786517186929483,1,"BRIA"
"88","v_extra_Pontine",-0.0698033778710731,0.0316113766585068,0.0273078772975171,1,"BRIA"
"89","v_extra_GenuCC",-0.0728797771473661,0.0341579678411309,0.03295259796596,1,"BRIA"
"90","v_extra_BodyCC",-0.0710886465464292,0.0350393442743427,0.0425591676283669,1,"BRIA"
"91","v_extra_SpleniumCC",-0.0500556890562418,0.0342822056838955,0.144361656047137,1,"DKI"
"92","v_extra_Fornix",0.0507778194022149,0.0278783013048108,0.0686364635637958,1,"DKI"
"93","v_extra_CorticospinaltractR",-0.0615011340616993,0.0321091923538915,0.0555395052394164,1,"DKI"
"94","v_extra_CorticospinaltractL",-0.0529901306918067,0.0326868857028534,0.105091437383926,1,"DTI"
"95","v_extra_MediallemniscusR",-0.0970759421061261,0.0308175483847148,0.00164872537442076,1,"DTI"
"96","v_extra_MediallemniscusL",-0.0770129815954338,0.0311051890439935,0.0133455534707636,1,"DTI"
"97","v_extra_InferiorcerebellarpeduncleR",-0.0777848338985164,0.0311496204735335,0.012573656500367,1,"DTI"
"98","v_extra_InferiorcerebellarpeduncleL",-0.0923964801519609,0.0303424315529993,0.00234618399846022,1,"SMT"
"99","v_extra_SuperiorcerebellarpeduncleR",-0.0231724709307867,0.0303262855788549,0.444864574967201,1,"SMT"
"100","v_extra_SuperiorcerebellarpeduncleL",-0.0153561431088027,0.030836247463797,0.618527663291201,1,"SMT"
"101","v_extra_CerebralpeduncleR",-0.0537325387542517,0.0303300705500976,0.0765640109930767,1,"SMT"
