"","Outcome","Std.Beta","Std.Err","p","p.adj","Model"
"1","v_intra_ATRL",0.112864966270407,0.034392128360484,0.00104385903543466,1,"BRIA"
"2","v_intra_ATRR",0.142820904199936,0.0338228380029605,2.48839709093105e-05,0.0456869705894941,"BRIA"
"3","v_intra_CSTL",0.0212050584580113,0.0347922057579936,0.54225524804033,1,"BRIA"
"4","v_intra_CSTR",0.049592851252261,0.0349766046237692,0.156330112955635,1,"BRIA"
"5","v_intra_CGL",0.0461039723037656,0.0348868298140053,0.186427773970569,1,"BRIA"
"6","v_intra_CGR",0.081187909669014,0.0349189441344029,0.02013786631517,1,"BRIA"
"7","v_intra_FMAJ",-0.11104439724625,0.0353300140959328,0.0016885856904018,1,"BRIA"
"8","v_intra_FMIN",0.00136025261653602,0.033468692198229,0.967583638651688,1,"BRIA"
"9","v_intra_IFOFL",0.00989430274229971,0.0347000419688824,0.77555846192432,1,"BRIA"
"10","v_intra_IFOFR",-0.0735270629473196,0.0347096545844011,0.0342301029573773,1,"DKI"
"11","v_intra_ILFL",0.000684738903909872,0.0355291964778537,0.984624973337536,1,"DKI"
"12","v_intra_ILFR",0.00146666893933006,0.0351355300010791,0.966706270876067,1,"DKI"
"13","v_intra_SLFL",-0.139498655650849,0.0349984908702779,6.88741141993971e-05,0.126452873670093,"DTI"
"14","v_intra_SLFR",-0.141708770174316,0.0349844210918108,5.24043921774147e-05,0.0962144640377333,"DTI"
"15","v_intra_UFL",0.0871114825461294,0.0338823442849008,0.0101893080890418,1,"DTI"
"16","v_intra_UFR",0.158077407047581,0.0339383810759291,3.33861501928652e-06,0.00612969717541005,"DTI"
"17","v_intra_SLFTL",0.0263299461141454,0.0348717337426084,0.450278738757437,1,"SMT"
"18","v_intra_SLTFR",-0.0298782388961622,0.034451999712882,0.385879944855835,1,"SMT"
"19","v_intra_Middlecerebellarpeduncle",0.293771020976767,0.0324024317441077,2.19431361299138e-19,4.02875979345217e-16,"SMT"
"20","v_intra_Pontine",0.379325908851109,0.0333344254824425,2.16381583764504e-29,3.97276587791629e-26,"SMT"
"21","v_intra_GenuCC",-0.0725137819509799,0.0340832046797044,0.0334575005999959,1,"SMTmc"
"22","v_intra_BodyCC",-0.198481666308145,0.0347148850737996,1.18996134616043e-08,2.18476903155055e-05,"SMTmc"
"23","v_intra_SpleniumCC",-0.240134189830782,0.0349002571522361,7.25504457041838e-12,1.33202618312881e-08,"SMTmc"
"24","v_intra_Fornix",-0.367335632179914,0.0295737975320956,1.45742258973586e-34,2.67582787475503e-31,"SMTmc"
"25","v_intra_CorticospinaltractR",0.458129717402416,0.0340159800541855,3.65266188554641e-40,6.7062872218632e-37,"WMTI"
"26","v_intra_CorticospinaltractL",0.39251825270793,0.0346361169890859,3.61048230873312e-29,6.62884551883401e-26,"WMTI"
"27","v_intra_MediallemniscusR",0.414513389585311,0.0322449175655805,7.76605231788919e-37,1.42584720556446e-33,"WMTI"
"28","v_intra_MediallemniscusL",0.328653076094744,0.0329426485198768,4.47645988077217e-23,8.2187803410977e-20,"BRIA"
"29","v_intra_InferiorcerebellarpeduncleR",0.169769101145264,0.0327533277829464,2.32802017169413e-07,0.000427424503523041,"BRIA"
"30","v_intra_InferiorcerebellarpeduncleL",0.211322800962825,0.0325808558685258,1.02973772654098e-10,1.89059846592923e-07,"BRIA"
"31","v_intra_SuperiorcerebellarpeduncleR",0.462538194930351,0.0341395204642704,1.30835302801702e-40,2.40213615943925e-37,"BRIA"
"32","v_intra_SuperiorcerebellarpeduncleL",0.44233196150147,0.0342645212682184,3.99605834199447e-37,7.33676311590184e-34,"BRIA"
