"","Outcome","Std.Beta","Std.Err","p","p.adj","Model"
"1","v_intra_ATRL",1.46530082358387e-05,0.00495037592068718,0.997638502669276,1,"BRIA"
"2","v_intra_ATRR",9.47297517304447e-06,0.00628132373986822,0.998796809543057,1,"BRIA"
"3","v_intra_CSTL",1.67512658898458e-05,0.00580872250611253,0.997699268702052,1,"BRIA"
"4","v_intra_CSTR",1.33292693499719e-05,0.00572215597623568,0.998141572237748,1,"BRIA"
"5","v_intra_CGL",1.04131710662044e-05,0.00397222954498373,0.997908549355482,1,"BRIA"
"6","v_intra_CGR",6.41918824617312e-06,0.00537281458104405,0.999046814356638,1,"BRIA"
"7","v_intra_FMAJ",1.06017941083328e-05,0.00443761088529838,0.998093972439531,1,"BRIA"
"8","v_intra_FMIN",6.72142273843236e-06,0.00545271386494103,0.999016560250253,1,"BRIA"
"9","v_intra_IFOFL",1.25970789529777e-05,0.00435409029001094,0.997691811461152,1,"BRIA"
"10","v_intra_IFOFR",1.00410538544295e-05,0.00462659260464478,0.998268522552627,1,"DKI"
"11","v_intra_ILFL",1.25370223821664e-05,0.00434513632337015,0.997698081754182,1,"DKI"
"12","v_intra_ILFR",1.48004953476035e-05,0.00491537161806337,0.9975977478086,1,"DKI"
"13","v_intra_SLFL",1.27093669849356e-05,0.00344604189724369,0.997057598938077,1,"DTI"
"14","v_intra_SLFR",1.18479815002251e-05,0.00365668910506464,0.99741503320072,1,"DTI"
"15","v_intra_UFL",1.61609092966475e-05,0.00659599677008249,0.998045280598439,1,"DTI"
"16","v_intra_UFR",1.36389130492984e-05,0.00696607377912883,0.998437964743265,1,"DTI"
"17","v_intra_SLFTL",8.43978696272639e-06,0.00636744186568659,0.998942535365795,1,"SMT"
"18","v_intra_SLTFR",9.46158597016168e-06,0.00552058209534673,0.99863265421088,1,"SMT"
"19","v_intra_Middlecerebellarpeduncle",1.02184348995105e-05,0.00930266245249104,0.99912365213122,1,"SMT"
"20","v_intra_Pontine",3.90451797159151e-06,0.00963833398541216,0.999676804767484,1,"SMT"
"21","v_intra_GenuCC",1.00070818627068e-05,0.00421430069150335,0.998105559921004,1,"SMTmc"
"22","v_intra_BodyCC",1.07793942230703e-05,0.00322341002122566,0.997332052149095,1,"SMTmc"
"23","v_intra_SpleniumCC",1.15823685631063e-05,0.00449962798952678,0.997946381398839,1,"SMTmc"
"24","v_intra_Fornix",9.79144560100938e-06,0.00372473226592443,0.99790274736725,1,"SMTmc"
"25","v_intra_CorticospinaltractR",8.79525507608627e-06,0.008328270372073,0.999157455119366,1,"WMTI"
"26","v_intra_CorticospinaltractL",7.14056743453193e-06,0.00789916325428448,0.999278807713425,1,"WMTI"
"27","v_intra_MediallemniscusR",1.36785199257183e-05,0.0109635775376071,0.99900462620869,1,"BRIA"
"28","v_intra_MediallemniscusL",1.11094389496635e-05,0.0109866616350787,0.999193274470762,1,"BRIA"
"29","v_intra_InferiorcerebellarpeduncleR",1.73009374484196e-05,0.0114201055534431,0.998791354759049,1,"BRIA"
"30","v_intra_InferiorcerebellarpeduncleL",1.91595895626416e-05,0.0111326650374229,0.998626950019872,1,"BRIA"
"31","v_intra_SuperiorcerebellarpeduncleR",1.25075167962853e-06,0.0072474425096816,0.999862315263831,1,"BRIA"
"32","v_intra_SuperiorcerebellarpeduncleL",4.23314018773977e-06,0.00794998403661925,0.999575188886013,1,"BRIA"
"33","v_intra_CerebralpeduncleR",1.37889246702674e-05,0.0101324653626345,0.998914288069666,1,"BRIA"
"34","v_intra_CerebralpeduncleL",2.07013994184547e-05,0.0098451919298728,0.998322452985474,1,"BRIA"
"35","v_intra_AnteriorlimbofinternalcapsuleR",1.000746765576e-05,0.00885040311019199,0.999097887943555,1,"BRIA"
"36","v_intra_AnteriorlimbofinternalcapsuleL",9.23147875991997e-06,0.00910996267204348,0.999191548257429,1,"DKI"
"37","v_intra_.PosteriorlimbofinternalcapsuleR",1.67330448941597e-05,0.00788179802292437,0.998306252158115,1,"DKI"
"38","v_intra_PosteriorlimbofinternalcapsuleL",2.20235385366545e-05,0.0071306586393803,0.997535912025903,1,"DKI"
"39","v_intra_RetrolenticularpartofinternalcapsuleR",7.78483497828203e-06,0.00687131332247946,0.999096123710501,1,"DTI"
"40","v_intra_RetrolenticularpartofinternalcapsuleL",9.64526907116726e-06,0.00644468515361897,0.998805978957489,1,"DTI"
"41","v_intra_AnteriorcoronaradiataR",9.42102986934792e-06,0.00433337652974171,0.998265514062263,1,"DTI"
"42","v_intra_AnteriorcoronaradiataL",8.30472326661022e-06,0.00464963697250594,0.998575031165059,1,"DTI"
"43","v_intra_SuperiorcoronaradiataR",1.03216723441575e-05,0.00431289557531518,0.998090674293256,1,"SMT"
"44","v_intra_SuperiorcoronaradiataL",1.27873144951229e-05,0.00385762681207302,0.997355413727057,1,"SMT"
"45","v_intra_PosteriorcoronaradiataR",7.91736451071053e-06,0.0037260531040917,0.998304761908685,1,"SMT"
"46","v_intra_PosteriorcoronaradiataL",8.40385721911052e-06,0.0034907126855687,0.998079281980596,1,"SMT"
