"","Metric","Mean TP1","SD TP1","Mean TP2","SD TP1","T","p","adjusted p","Cohens's d","Lower 95% CI","Upper 95% CI"
"v_intra_ATRL","v_intra_ATRL",0.498315483355978,0.0260656909221449,0.49540893138587,0.0272706814379676,16.1623507506101,"9.2948597037038451432640688334540839756955910444320376196363586e-59","1.7065362416000259683032830378225e-55",-0.108182839203961,-0.121342910564824,-0.0950227678430991
"v_intra_ATRR","v_intra_ATRR",0.494617359035326,0.0249918763664482,0.496214158967391,0.0259481961289761,-7.51787814992426,"5.5672350648493685684881377071155870328687960277013279541218821e-14","1.0221443579063440691744220830268e-10",0.062488064198898,0.046177734694001,0.0787983937037951
"v_intra_CSTL","v_intra_CSTL",0.607629210258152,0.0227976984913648,0.602743147078804,0.0236643290654667,26.5279330128679,"4.6166477940616762157081954775357497227637379289776682863344007e-155","8.4761653498972375320402468967518e-152",-0.209569151773154,-0.225225058171768,-0.19391324537454
"v_intra_CSTR","v_intra_CSTR",0.592712063179348,0.0225185002026234,0.592653071671196,0.0232460804858167,0.334667815812637,"0.73787568203864105211911119104358392644621085130211383934303593","1354.7397522229449716906881467565",-0.00257089631597492,-0.017630333318285,0.0124885406863351
"v_intra_CGL","v_intra_CGL",0.498063978600543,0.0336944354927669,0.49396849388587,0.0347576079331331,22.2357960082562,"1.5479878057734911200399025522331289923624658888171031487516833e-109","2.8421056114001296963932610858986e-106",-0.11899524875731,-0.129523259451207,-0.108467238063412
"v_intra_CGR","v_intra_CGR",0.491525022078804,0.0323372948086332,0.493165225203804,0.0331146917483474,-6.99783709932826,"2.5994406922816252790828725020669156641803231619514019943321388e-12","4.7725731110290640123961539137963e-9",0.0500290797896057,0.0360052164134277,0.0640529431657836
"v_intra_FMAJ","v_intra_FMAJ",0.516122781589674,0.0308382456417759,0.512295877377717,0.031580470605764,20.6192684804357,"1.8432432175235581884578912428829795871327078458958803449517058e-94","3.3841945473732528340086883219347e-91",-0.12229554432596,-0.133966128462374,-0.110624960189547
"v_intra_FMIN","v_intra_FMIN",0.478646949048913,0.0395721966658285,0.483542182744565,0.0411791072199537,-16.6221878946419,"4.8143145295459256917496332581629559317416780844131741865868579e-62","8.8390814762463195700523266619822e-59",0.120651499055868,0.106370562173384,0.134932435938351
"v_intra_IFOFL","v_intra_IFOFL",0.457821026494565,0.0308575202983587,0.456063751358696,0.0320484001393148,9.39718997818443,"5.6039686728049634301933875042979306112585760104020490761884792e-21","1.0288886483269912857835059457890e-17",-0.0554937302295907,-0.0670793005816323,-0.043908159877549
"v_intra_IFOFR","v_intra_IFOFR",0.461962330502717,0.0311890281489574,0.462264039402174,0.0321070278513491,-1.55062772207091,"0.12099092468935658400327297929510957909106655375000966923293775","222.13933772965868823000918998581",0.00949815017955345,-0.00251007127906656,0.0215063716381735
"v_intra_ILFL","v_intra_ILFL",0.437469733016304,0.0304565934115958,0.433096148097826,0.0314762352422905,23.7690788478249,"6.9771663211146716655677839113233386854610107791283359656508337e-125","1.2810077365566537177982451261188e-121",-0.140516929003631,-0.152163202321522,-0.128870655685739
"v_intra_ILFR","v_intra_ILFR",0.426803859375,0.0301015763650819,0.425812479959239,0.0309742898063774,4.89392864871876,"9.8842686927522058975845036973244162260822978695973539848464087e-7","0.0018147517319893050027965148788293",-0.0323646780390168,-0.0453324319922305,-0.0193969240858032
"v_intra_SLFL","v_intra_SLFL",0.51771886548913,0.0309047870040186,0.512650962975543,0.0322569173842217,33.8705445218613,"1.8089713267763536644805131373921018175604011299769417087447527e-251","3.3212713559613853279862221202527e-248",-0.158268843191167,-0.167486349178628,-0.149051337203706
"v_intra_SLFR","v_intra_SLFR",0.514233830163043,0.0300877644028063,0.511732007133152,0.0312964050851658,16.4484332168272,"8.6065955526361321997597324601007411504647907583276869310999212e-61","1.5801709434639938718758868796745e-57",-0.0806503563740567,-0.0902780936308222,-0.0710226191172911
"v_intra_UFL","v_intra_UFL",0.396548329144022,0.0318512606021328,0.395978610733696,0.0326074908296526,1.95613280295198,"0.050449511828182019973550180577728483562103808830284047384367442","92.625303716542188671438131540723",-0.0176579547966931,-0.0353555118700737,3.96022766875163e-05
"v_intra_UFR","v_intra_UFR",0.374828640285326,0.0310780082638402,0.377624805366848,0.0324047274694424,-9.37361204863966,"7.0091855304563895614853274438483922036137122057180670784340233e-21","1.2868864633917931234887061186905e-17",0.0878148741351596,0.0694141817875201,0.106215566482799
"v_intra_SLFTL","v_intra_SLFTL",0.461222910665761,0.0327052095203106,0.452227844089674,0.0335780981790957,31.0953820671168,"2.7808719850786034385020573625723507717697252886231400979460179e-212","5.1056809646043159130897773176804e-209",-0.27101617779665,-0.288412942358104,-0.253619413235196
"v_intra_SLTFR","v_intra_SLTFR",0.494612695991848,0.0355357772967934,0.485031832540761,0.0372029070992061,34.6333778289064,"7.9486994197513935668574146991882905127132434311823849015853984e-263","1.4593812134663558588750213387703e-259",-0.261871279333452,-0.2769460678239,-0.246796490843004
"v_intra_Middlecerebellarpeduncle","v_intra_Middlecerebellarpeduncle",0.669228560122283,0.0280937265586019,0.66127354857337,0.0292965250095076,21.901584977302,"2.5089974914939787013449518501338724065160620476731957537318668e-106","4.6065193943829448956693315968450e-103",-0.27676917356713,-0.302012182885935,-0.251526164248325
"v_intra_Pontine","v_intra_Pontine",0.578337409646739,0.0428814611423992,0.578082197350543,0.043387288567721,0.454661750016246,"0.64935260284446422975578787038310237491702609026012328425878473","1192.2113788224363258316265300237",-0.00591596571460447,-0.0314240847459168,0.0195921533167079
"v_intra_GenuCC","v_intra_GenuCC",0.545934950067935,0.0488236963542503,0.545539595788043,0.0500612119459105,1.41452871844801,"0.15720672137394881699142507493297129252608484301606723732936996","288.63154044257002799625643757685",-0.00797020698647462,-0.0190161330978452,0.00307571912489592
"v_intra_BodyCC","v_intra_BodyCC",0.560214358355978,0.0405285347547161,0.556402012907609,0.0422420922648066,20.8452059286572,"1.6848224664656472448606636420213731267454853793217269068780774e-96","3.0933340484309283415641784467515e-93",-0.0907539536056034,-0.0993063766721897,-0.0822015305390171
"v_intra_SpleniumCC","v_intra_SpleniumCC",0.629332298913043,0.0375481373189128,0.625936590692935,0.039294684299037,14.3965916241817,"5.4358906413963136143801022336887871568896367949089250682141044e-47","9.9802952176036317960018677010555e-44",-0.087576362324637,-0.0995243770136256,-0.0756283476356483
"v_intra_Fornix","v_intra_Fornix",0.221947962975543,0.0497885877382908,0.210589975543478,0.048070897289725,45.0022208700707,"3.0333666849518180624972612852287297703653299503195269572738253e-442","5.5692612335715379627449717196773e-439",-0.230330676576552,-0.240496445707763,-0.220164907445342
"v_intra_CorticospinaltractR","v_intra_CorticospinaltractR",0.618463804347826,0.0557625225097233,0.623179043817935,0.0559541141332316,-7.45364450927924,"9.0796444019584517308125275354609017955785049901291811327188276e-14","1.6670227121995717377771800555110e-10",0.084413084580363,0.0621722656603048,0.106653903500421
"v_intra_CorticospinaltractL","v_intra_CorticospinaltractL",0.617637766983696,0.0584109854097696,0.621224661684783,0.057682564567186,-5.74844206173935,"9.0069498750104868185603053915809938845925644619795759401966360e-9","1.6536759970519253798876720698947e-5",0.061780090359621,0.0406913911165503,0.0828687896026917
"v_intra_MediallemniscusR","v_intra_MediallemniscusR",0.529390730298913,0.0299946169380649,0.529105674932065,0.0317810268243089,0.615053475703057,"0.53851940545033823923273458466476452688076951129854083467834326","988.72162840682100723130069744442",-0.00920926537911281,-0.0385626864668625,0.0201441557086369
"v_intra_MediallemniscusL","v_intra_MediallemniscusL",0.53880844361413,0.0313215492572634,0.535271892663043,0.033011872398454,7.32370112681126,"2.4122360951598461738890644670778151391765302558497937802244938e-13","4.4288654707134775752603223615541e-10",-0.109753295120103,-0.139219777398267,-0.0802868128419393
"v_intra_InferiorcerebellarpeduncleR","v_intra_InferiorcerebellarpeduncleR",0.557823454144022,0.0269165284000312,0.55664000611413,0.0290321268560754,2.720972899053,"0.0065090097540084797743297125613755641240041133014790546902155287","11.950541908359568865669352262685",-0.0421646054013122,-0.0725562479221503,-0.011772962880474
