"","variable","value","p","Outcome"
"1","ANX",-0.00108154022649072,0.701649764307289,"X"
"2","ANX",0.000618745273611051,0.384180996381834,"BRIA.BRIA.v_intra_ATRL"
"3","ANX",0.000604830404699782,0.392525048836657,"BRIA.BRIA.v_intra_ATRR"
"4","ANX",0.000314108480350777,0.640021491997705,"BRIA.BRIA.v_intra_CSTL"
"5","ANX",0.00042477151000594,0.527633923864841,"BRIA.BRIA.v_intra_CSTR"
"6","ANX",0.000726489345008139,0.333962553602943,"BRIA.BRIA.v_intra_CGL"
"7","ANX",0.000804558398795437,0.281806019610432,"BRIA.BRIA.v_intra_CGR"
"8","ANX",0.000213733364234691,0.770104316653183,"BRIA.BRIA.v_intra_FMAJ"
"9","ANX",0.000607883599604663,0.446873230095574,"BRIA.BRIA.v_intra_FMIN"
"10","ANX",0.000242657439322145,0.746852140499112,"BRIA.BRIA.v_intra_IFOFL"
"11","ANX",0.000283937715014266,0.70580381418114,"BRIA.BRIA.v_intra_IFOFR"
"12","ANX",0.000204908666626453,0.786734642898811,"BRIA.BRIA.v_intra_ILFL"
"13","ANX",0.000182934832884812,0.809245294250697,"BRIA.BRIA.v_intra_ILFR"
"14","ANX",0.000448673375391219,0.54019370350575,"BRIA.BRIA.v_intra_SLFL"
"15","ANX",0.00031707394810653,0.663594872468814,"BRIA.BRIA.v_intra_SLFR"
"16","ANX",0.000458501917537664,0.561079200089858,"BRIA.BRIA.v_intra_UFL"
"17","ANX",0.000314962244789412,0.694958495696975,"BRIA.BRIA.v_intra_UFR"
"18","ANX",0.000174732306450654,0.818836094298519,"BRIA.BRIA.v_intra_SLFTL"
"19","ANX",0.000394926883982845,0.603348686417744,"BRIA.BRIA.v_intra_SLTFR"
"20","ANX",0.000274467859577023,0.688565625732476,"BRIA.BRIA.v_intra_Middlecerebellarpeduncle"
"21","ANX",0.000421705612081987,0.578186729202638,"BRIA.BRIA.v_intra_Pontine"
"22","ANX",0.000708839289406091,0.392185362189789,"BRIA.BRIA.v_intra_GenuCC"
"23","ANX",0.000411986595069409,0.595002448373409,"BRIA.BRIA.v_intra_BodyCC"
"24","ANX",4.35553635174671e-05,0.953012338580475,"BRIA.BRIA.v_intra_SpleniumCC"
"25","ANX",0.000709288046120464,0.587352056573822,"BRIA.BRIA.v_intra_Fornix"
"26","ANX",0.00114377664296862,0.154632903373887,"BRIA.BRIA.v_intra_CorticospinaltractR"
"27","ANX",0.000494886293069702,0.541306097068449,"BRIA.BRIA.v_intra_CorticospinaltractL"
"28","ANX",0.00021067744878854,0.771393942501905,"BRIA.BRIA.v_intra_MediallemniscusR"
"29","ANX",0.000561015506756262,0.440285827211092,"BRIA.BRIA.v_intra_MediallemniscusL"
"30","ANX",0.000103675290819597,0.882213129703453,"BRIA.BRIA.v_intra_InferiorcerebellarpeduncleR"
"31","ANX",0.000198227782177822,0.77928073514429,"BRIA.BRIA.v_intra_InferiorcerebellarpeduncleL"
"32","ANX",0.000419810706451324,0.549162593474323,"BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleR"
"33","ANX",0.000352772793267912,0.608767271570131,"BRIA.BRIA.v_intra_SuperiorcerebellarpeduncleL"
"34","ANX",0.000631475092810731,0.36072919559653,"BRIA.BRIA.v_intra_CerebralpeduncleR"
"35","ANX",0.000515209433806654,0.452525403167598,"BRIA.BRIA.v_intra_CerebralpeduncleL"
"36","ANX",0.000633429805735635,0.378739782345253,"BRIA.BRIA.v_intra_AnteriorlimbofinternalcapsuleR"
"37","ANX",0.000884741244103179,0.223319816065933,"BRIA.BRIA.v_intra_AnteriorlimbofinternalcapsuleL"
"38","ANX",0.000305871107398416,0.645622846169143,"BRIA.BRIA.v_intra_.PosteriorlimbofinternalcapsuleR"
"39","ANX",0.000288356844060455,0.664424536274311,"BRIA.BRIA.v_intra_PosteriorlimbofinternalcapsuleL"
"40","ANX",0.000142215381035974,0.849940402032442,"BRIA.BRIA.v_intra_RetrolenticularpartofinternalcapsuleR"
"41","ANX",0.000288895795868548,0.694105044459716,"BRIA.BRIA.v_intra_RetrolenticularpartofinternalcapsuleL"
"42","ANX",0.000545318873079336,0.498026908216497,"BRIA.BRIA.v_intra_AnteriorcoronaradiataR"
"43","ANX",0.000650401287722409,0.429642832858729,"BRIA.BRIA.v_intra_AnteriorcoronaradiataL"
"44","ANX",9.39130525185032e-05,0.895737492803878,"BRIA.BRIA.v_intra_SuperiorcoronaradiataR"
"45","ANX",0.000128164703124471,0.859731131497364,"BRIA.BRIA.v_intra_SuperiorcoronaradiataL"
"46","ANX",0.000172173238575499,0.838733854494148,"BRIA.BRIA.v_intra_PosteriorcoronaradiataR"
"47","ANX",-4.69212881802945e-05,0.954951974808044,"BRIA.BRIA.v_intra_PosteriorcoronaradiataL"
"48","ANX",0.000315684950594934,0.691308806252201,"BRIA.BRIA.v_intra_PosteriorthalamicradiationR"
"49","ANX",0.000114886026758432,0.886748745378689,"BRIA.BRIA.v_intra_PosteriorthalamicradiationL"
"50","ANX",0.000123894489173463,0.87846889283484,"BRIA.BRIA.v_intra_SagittalstratumR"
"51","ANX",-3.91558938557165e-05,0.961168591249996,"BRIA.BRIA.v_intra_SagittalstratumL"
"52","ANX",0.000727205392662911,0.351933903951784,"BRIA.BRIA.v_intra_ExternalcapsuleR"
"53","ANX",0.000676487608789121,0.402957757974638,"BRIA.BRIA.v_intra_ExternalcapsuleL"
