"","variable","value","p","Outcome"
"1","ANX",0.000605208370327867,0.953822444425083,"v_intra_ATRL"
"2","ANX",-0.000911923788545918,0.381898592119057,"v_intra_ATRR"
"3","ANX",-0.00139142946792822,0.166139447011339,"v_intra_CSTL"
"4","ANX",-0.000437612245886841,0.565554965762402,"v_intra_CSTR"
"5","ANX",-0.000456059083605734,0.552918416001499,"v_intra_CGL"
"6","ANX",-0.0012818052448658,0.340840770114434,"v_intra_CGR"
"7","ANX",-0.000726562689240893,0.579906782301818,"v_intra_FMAJ"
"8","ANX",-0.000360441566052537,0.765731517275857,"v_intra_FMIN"
"9","ANX",-0.000954403566285922,0.547721358997199,"v_intra_IFOFL"
"10","ANX",-0.00125232614024696,0.351497936391607,"v_intra_IFOFR"
"11","ANX",-0.00135311252360988,0.313521008317748,"v_intra_ILFL"
"12","ANX",-0.00181730642943198,0.202220785167809,"v_intra_ILFR"
"13","ANX",-0.00165519033008915,0.24729582871801,"v_intra_SLFL"
"14","ANX",-0.00103326270222418,0.389523567472516,"v_intra_SLFR"
"15","ANX",-0.00136221898790289,0.244512096736394,"v_intra_UFL"
"16","ANX",-0.00189331785114126,0.236482036227441,"v_intra_UFR"
"17","ANX",-0.00152373739971963,0.361364660353912,"v_intra_SLFTL"
"18","ANX",-0.00183016954382182,0.208210416047412,"v_intra_SLTFR"
"19","ANX",-0.000885035543383025,0.538991960111828,"v_intra_Middlecerebellarpeduncle"
"20","ANX",-0.00038811135585319,0.638108939407759,"v_intra_Pontine"
"21","ANX",0.000767296857697794,0.602463557774442,"v_intra_GenuCC"
"22","ANX",-0.00143679865827552,0.402864432684235,"v_intra_BodyCC"
"23","ANX",-0.00279831913959561,0.0494659659578573,"v_intra_SpleniumCC"
"24","ANX",-0.00116789762992835,0.319609990069567,"v_intra_Fornix"
"25","ANX",-0.00662312125095027,0.0785001770957959,"v_intra_CorticospinaltractR"
"26","ANX",0.0016310266279087,0.366562397960782,"v_intra_CorticospinaltractL"
"27","ANX",0.000263270794164698,0.890442505687529,"v_intra_MediallemniscusR"
"28","ANX",0.000388832733847814,0.730507413670279,"v_intra_MediallemniscusL"
"29","ANX",-0.000331114877406725,0.776898930549264,"v_intra_InferiorcerebellarpeduncleR"
"30","ANX",-0.000188898713414248,0.847817019736944,"v_intra_InferiorcerebellarpeduncleL"
"31","ANX",-0.000960057920379859,0.337641952300307,"v_intra_SuperiorcerebellarpeduncleR"
"32","ANX",-0.00188403001547647,0.0820222283928816,"v_intra_SuperiorcerebellarpeduncleL"
"33","ANX",-0.00115600678807246,0.241439061487675,"v_intra_CerebralpeduncleR"
"34","ANX",-0.00085394439891363,0.392303004868381,"v_intra_CerebralpeduncleL"
